epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,7463.36,0.19752,0.84068,1.17937,0.74022,0.48385,0.60199,0.35735,0.17699,0.70965,1.16166,0.0073468,0.0073468,0.0073468
136,7518.27,0.19703,0.84257,1.1849,0.72945,0.49877,0.60487,0.35391,0.17641,0.70647,1.15754,0.007327,0.007327,0.007327
137,7572.3,0.19752,0.84172,1.18521,0.75279,0.49371,0.59945,0.35209,0.17649,0.70533,1.1577,0.0073072,0.0073072,0.0073072
138,7626.79,0.19702,0.84074,1.17483,0.75668,0.50237,0.61612,0.36501,0.17637,0.70233,1.15767,0.0072874,0.0072874,0.0072874
139,7682.49,0.1956,0.83533,1.17552,0.73061,0.50545,0.6162,0.36347,0.17605,0.70523,1.15665,0.0072676,0.0072676,0.0072676
140,7735.96,0.19712,0.83053,1.17748,0.74474,0.50931,0.62652,0.37266,0.17506,0.69788,1.15334,0.0072478,0.0072478,0.0072478
141,7789.92,0.19783,0.84373,1.17905,0.7425,0.50463,0.61524,0.36254,0.17491,0.69861,1.15225,0.007228,0.007228,0.007228
142,7844.06,0.19568,0.8266,1.17245,0.77835,0.50373,0.63212,0.36695,0.17436,0.68928,1.15032,0.0072082,0.0072082,0.0072082
143,7897.98,0.19596,0.82989,1.17286,0.76829,0.48629,0.64181,0.38712,0.17423,0.68518,1.1504,0.0071884,0.0071884,0.0071884
144,7953.01,0.19549,0.82535,1.17068,0.7092,0.56814,0.63655,0.38683,0.17391,0.6839,1.14718,0.0071686,0.0071686,0.0071686
145,8006.02,0.19664,0.83038,1.16881,0.70575,0.55981,0.63743,0.38796,0.17349,0.68175,1.1455,0.0071488,0.0071488,0.0071488
146,8060.78,0.19583,0.8228,1.17605,0.72683,0.51392,0.63438,0.38252,0.1731,0.67714,1.14392,0.007129,0.007129,0.007129
147,8116.06,0.1952,0.82169,1.16858,0.74034,0.50496,0.63679,0.37672,0.17328,0.67521,1.14424,0.0071092,0.0071092,0.0071092
148,8171.67,0.19509,0.81995,1.17055,0.76617,0.50841,0.64047,0.37512,0.173,0.67676,1.14332,0.0070894,0.0070894,0.0070894
149,8223.96,0.19533,0.81371,1.16857,0.74205,0.52246,0.642,0.39247,0.17309,0.67023,1.14149,0.0070696,0.0070696,0.0070696
150,8279.89,0.19382,0.80727,1.16286,0.77728,0.50299,0.64911,0.39422,0.17256,0.66748,1.14034,0.0070498,0.0070498,0.0070498
151,8334.98,0.19315,0.80551,1.16491,0.76029,0.52155,0.65449,0.40257,0.17167,0.66451,1.13701,0.00703,0.00703,0.00703
152,8388.16,0.19376,0.80957,1.1666,0.76356,0.51178,0.62605,0.38666,0.17136,0.66474,1.13663,0.0070102,0.0070102,0.0070102
153,8445.38,0.19531,0.815,1.17354,0.66095,0.60779,0.64683,0.38774,0.17119,0.66093,1.13484,0.0069904,0.0069904,0.0069904
154,8498.78,0.1933,0.80572,1.16634,0.73375,0.57808,0.65548,0.39907,0.17057,0.65838,1.13305,0.0069706,0.0069706,0.0069706
155,8549.8,0.19434,0.80555,1.1621,0.75028,0.566,0.65426,0.40082,0.17046,0.65647,1.13227,0.0069508,0.0069508,0.0069508
156,8602.43,0.19302,0.79836,1.16496,0.76986,0.54938,0.65851,0.39308,0.17032,0.6555,1.13221,0.006931,0.006931,0.006931
157,8654.8,0.19243,0.79661,1.16098,0.74677,0.55386,0.65985,0.39524,0.17016,0.65022,1.1308,0.0069112,0.0069112,0.0069112
158,8709.24,0.19215,0.79656,1.1619,0.68849,0.59105,0.66527,0.4098,0.16947,0.64902,1.12869,0.0068914,0.0068914,0.0068914
159,8766.13,0.19299,0.79722,1.15984,0.74396,0.56659,0.67191,0.40893,0.16917,0.64546,1.12763,0.0068716,0.0068716,0.0068716
160,8820.23,0.19254,0.79061,1.15762,0.74578,0.5637,0.66565,0.41446,0.16859,0.64117,1.12555,0.0068518,0.0068518,0.0068518
161,8875.71,0.19172,0.7901,1.16309,0.75804,0.57235,0.65266,0.40573,0.16805,0.64149,1.12297,0.006832,0.006832,0.006832
162,8932.33,0.19163,0.79147,1.15711,0.76004,0.56978,0.65886,0.40906,0.16755,0.64123,1.12032,0.0068122,0.0068122,0.0068122
163,8988.92,0.19157,0.78733,1.159,0.78215,0.56142,0.6704,0.40819,0.16736,0.6365,1.11881,0.0067924,0.0067924,0.0067924
164,9040.92,0.18968,0.77334,1.15416,0.77293,0.56755,0.66598,0.41075,0.16692,0.63247,1.11749,0.0067726,0.0067726,0.0067726
165,9096.05,0.19004,0.77959,1.15064,0.72941,0.58451,0.6771,0.4185,0.16665,0.63067,1.11571,0.0067528,0.0067528,0.0067528
166,9149.61,0.19043,0.78134,1.15332,0.76797,0.58035,0.68298,0.41804,0.16631,0.6279,1.11437,0.006733,0.006733,0.006733
167,9204.43,0.18984,0.77826,1.15339,0.75486,0.58367,0.67757,0.42076,0.16585,0.62449,1.11284,0.0067132,0.0067132,0.0067132
168,9260,0.18986,0.766,1.1503,0.77858,0.59648,0.68829,0.42697,0.16582,0.6206,1.11207,0.0066934,0.0066934,0.0066934
169,9314.27,0.18886,0.77154,1.15184,0.7006,0.6351,0.68556,0.4262,0.16511,0.62125,1.11045,0.0066736,0.0066736,0.0066736
170,9367.62,0.18863,0.76811,1.15305,0.74085,0.60056,0.68462,0.41818,0.16452,0.61665,1.1078,0.0066538,0.0066538,0.0066538
171,9422.4,0.18945,0.7724,1.15604,0.73023,0.61078,0.67898,0.42492,0.16433,0.61554,1.10698,0.006634,0.006634,0.006634
172,9475.94,0.18798,0.75987,1.14521,0.73768,0.59975,0.67831,0.42848,0.16423,0.61238,1.1058,0.0066142,0.0066142,0.0066142
173,9530.83,0.1895,0.77943,1.15572,0.7474,0.60313,0.68791,0.43321,0.16384,0.61288,1.10479,0.0065944,0.0065944,0.0065944
174,9585.8,0.18765,0.76218,1.14222,0.73315,0.61131,0.69142,0.43559,0.16341,0.61033,1.10284,0.0065746,0.0065746,0.0065746
